term,2014-10-15,2014-10-22,2014-10-01,2014-10-08
buckner,3,0,1,1
bucksexton,4,2,0,4
budweiser,1,0,1,3
buell003,0,2,1,8
buff,1,1,4,0
buffalo,2,0,1,8
buffet,2,54,1,0
buffoon,1,0,2,1
buffoonery,0,1,2,1
bugged,1,1,3,0
builder,1,2,0,1
builders,1,1,0,1
buildpeace,1,0,1,1
bullard,2,1,1,0
bullcrap,1,2,0,1
bulldogs,2,1,0,1
bulletinman1,3,4,0,2
bullhorn,0,2,1,12
bullhorngirl,7,0,2,9
bullion,8,0,9,2
bummed,2,2,0,6
bump,0,2,3,6
bumping,0,1,2,2
bumps,2,0,1,1
buncha,1,1,1,0
bunk,2,1,0,1
bunker,0,1,1,2
burbs,0,2,2,2
bureau,34,3,1,0
bureaucrats,1,0,1,1
burgers,2,5,0,1
burglar,2,2,0,10
burglary,10,7,0,3
burial,0,1,1,2
burke,1,2,1,0
burner,1,1,1,0
burners,1,3,0,16
burnin,1,1,0,9
burnitdown,1,1,1,0
burnley,103,1,0,5
burris,17,1,2,0
busby,2,6,5,0
bused,0,1,1,6
bushes,1,1,0,15
bushwick,2,1,0,1
busi,1,1,1,0
businessman,6,1,1,0
businessweek,5,0,17,8
bussed,0,5,1,3
busting,7,1,0,6
bustle,1,1,0,2
butch,0,2,1,1
butter,3,4,0,8
butterfly,1,0,2,2
butters,0,1,1,1
buzzfeedandrew,5,9,0,1
buzzflash,10,7,0,16
buzzing,0,6,3,1
bw,7,0,3,4
bwahahahaha,1,0,1,1
bwtanker,0,3,1,5
byalanwong,1,1,0,3
byanymeansnecessary,0,1,1,2
byline,1,1,0,1
byob,1,0,2,1
byp100,1,2,0,1
bypass,0,1,1,1
byron,1,0,1,1
bystander,2,2,0,2
byte,4,17,0,8
c2gthr,1,1,0,1
caccioppolimike,0,1,1,1
cages,2,2,0,1
cahill,4,1,2,0
cair,0,61,1,2
cajasdefollow,0,1,1,4
cajun,2,0,1,1
cakes,1,4,0,1
calculate,1,1,0,1
calgary,0,2,1,1
caliveen,0,1,2,1
callisto1947,2,1,0,2
callous,1,1,0,2
calltoaction,3,1,0,1
calming,2,3,0,3
calmly,0,5,2,8
calmness,1,1,0,1
camo,1,1,4,0
camouflageknows,3,1,1,0
campaigns,2,28,3,0
campbell,2,0,3,5
camped,2,2,0,1
camping,7,0,1,5
canadians,2,4,0,2
canceled,0,4,1,3
cancers,0,1,1,1
candice,0,1,2,2
candilissa,1,0,1,1
candle,2,3,0,9
candyheartrejects,0,3,1,5
canned,0,2,1,2
cannoneerfour,0,1,1,1
canon,2,1,1,0
canproveit,0,1,3,1
canvas,0,7,2,2
canwelive,1,1,0,3
capitalists,0,1,1,4
capitalized,0,2,1,1
capitalizing,0,1,2,1
capricorn_4life,1,1,0,2
caps,0,2,6,2
capt_white_dude,0,1,7,2
caption,10,5,0,9
captnthundrcunt,5,0,29,4
capturing,2,2,0,6
carbon,3,1,0,3
cardinalsnation,1,0,1,4
carelessly,0,1,1,1
carla,1,0,2,2
carlnyberg312,2,0,5,4
carlo,0,4,3,2
carlson,1,1,0,2
carmel,0,1,1,1
carmenvellon,1,2,2,0
carmichael,1,0,1,1
carnival,2,5,1,0
carolcnn,1,10,1,0
caroline,4,3,1,0
carpool,0,1,4,1
carr,7,1,0,2
carra23,0,1,1,1
carrick,2,0,2,1
carrick_fan,5,0,1,1
carrie,1,6,1,0
carriebr14,5,2,0,2
carryon,1,0,1,1
cartel,1,0,2,1
cartels,1,2,0,1
carthage,2,0,1,4
cartoonistcobra,0,2,1,1
cartoons,1,5,0,3
cartwright,3,2,0,1
cartwright__91,1,1,1,0
cashmere,0,3,47,5
casing,0,3,1,1
casket,0,1,1,58
cass,1,0,1,4
castle,0,4,1,8
castles,1,1,0,2
castor,1,1,0,21
casually,2,4,2,0
cat2012news,1,1,0,1
catalog,4,0,5,1
cataloging,1,0,1,1
catastrophe,1,0,1,3
catawba_skies,10,3,0,1
categories,0,1,2,1
catholics,1,1,0,2
catholicstl,3,0,1,10
catholicstweet,0,1,1,2
cathy_ccski,9,3,0,3
catsofinstagram,1,4,0,1
cattle,5,1,0,2
caulkthewagon,0,1,2,6
caution,3,9,0,5
cbsthismorning,0,2,1,2
cc2arms,1,4,0,1
ccctf,2,2,0,4
ccf2014,0,1,3,7
cdashiell,0,1,1,3
cdonfaris,1,0,1,1
ceases,1,3,0,3
ceatris,6,0,23,6
cedrick,0,1,1,1
ceebotharapper,4,4,2,0
ceiling,0,1,3,1
cellphone,3,0,4,3
cellphones,1,1,0,2
cement,1,6,3,0
cemetery,2,0,2,14
censored,2,0,6,3
census,0,3,2,4
centered,2,4,2,0
centres,2,2,1,0
cept,1,0,1,2
certainty,2,2,0,3
certificate,0,2,1,2
certified,3,3,0,5
cfa,1,2,2,0
cfc,1,5,0,14
cga778,20,1,0,6
chadmac19,3,1,0,4
chamakoserioo,2,0,4,2
champaign,1,1,0,2
championsleague,10,0,1,1
champs,4,0,1,6
chancellor,2,2,1,0
chandra,1,0,5,1
changethenarrative,2,0,1,2
changethenypd,0,4,2,2
chanted,0,21,13,12
chaosforthefly,6,1,0,3
chapelle,2,0,3,1
chapman,3,0,2,3
chapters,2,0,1,2
characteristics,2,1,2,0
characterize,1,1,1,0
characterleader,1,1,0,1
charade,4,8,0,2
charger,0,2,1,1
charlatan,0,2,1,1
charlesmblow,2,2,0,4
charleston,1,2,0,1
charliecrist,3,1,0,2
charliekmox,0,2,3,1
charlieroseshow,1,1,0,1
charlotte,4,0,3,4
charlton,3,0,8,4
charm,0,3,2,1
chart,1,0,3,11
charting,2,42,0,2
chaser,0,2,1,4
chasers,1,0,1,1
chasewoods,0,2,1,1
chats,4,0,4,8
chatter,1,1,0,1
chatting,3,0,6,7
chaunceydevega,1,0,1,1
checkmate,1,3,0,2
cheek,2,3,0,6
cheese_gravy,0,1,3,1
cheif,1,0,2,1
chellegaylor24,1,1,0,10
cheltenham,4,0,3,1
chemtrails,1,0,1,5
chennaiyinfc,1,0,1,1
cheque,0,1,1,1
cher,1,0,5,1
cherokee,0,13,2,2
cherry,2,5,0,4
chescaleigh,0,1,2,1
cheshire,1,1,1,0
chess,1,0,4,5
chgo,1,1,0,2
chic,3,0,3,2
chica,1,2,0,1
chicagobears,1,0,8,1
chicarito,4,0,1,1
chiccado,1,0,1,2
chickenchasing,1,0,1,1
chickens,1,0,1,6
chiefjackson,5,0,20,1
chikv,2,0,5,4
chili,3,0,2,1
chime,3,4,1,0
chimpout,3,3,0,17
chimpouts,0,1,1,1
chin,3,2,0,2
chip,3,4,0,8
chippewa,1,0,1,1
chiraq,3,4,0,3
chiraq_savage_,4,1,0,5
cho,1,1,0,1
chobbscoop,0,2,2,4
chocnessmonsta,18,3,2,0
chopper,1,6,0,4
chp,0,1,1,1
chrishe36749645,1,12,1,0
chrislenebam,0,1,1,2
chrisloesch,4,2,0,5
chrissycole,0,1,5,5
christianlee527,1,1,0,2
christie,0,9,1,8
christnme,0,6,7,3
christocarbone,0,5,2,3
christy,9,3,0,5
chron,1,0,1,3
chronic,0,2,1,4
chs,4,2,1,0
chuckle,3,1,0,1
chuckwoolery,1,0,1,3
chuckybrown52,1,6,0,2
chump,1,5,0,3
chunk,0,1,1,1
chunky,0,1,1,4
chеck,2,1,1,0
ci,1,4,2,0
cic,0,5,1,1
cigarillos,0,20,2,3
cindy,3,2,3,0
circled,2,5,0,1
circuit,0,1,3,2
circular,2,1,0,1
circulated,2,6,2,0
circulating,1,4,0,5
circumstance,2,2,0,2
cis,1,0,1,6
citizensrock,8,1,0,2
citizenstreams,4,4,0,12
civ,0,5,12,4
civilliberties,4,0,1,2
civilly,1,0,1,1
civilunrest,1,1,0,3
civilwar,0,1,24,4
civilwarpaint,1,7,0,4
cj_musick_lawya,0,3,2,6
cjayconrod,1,0,1,3
cjreform,1,2,0,2
cking,4,3,0,13
cks,1,0,2,1
clair,3,0,2,4
clam,1,1,2,0
clan,2,8,3,0
clapping,2,1,1,0
clare,4,2,1,0
clarendon,0,5,1,1
clarice,1,2,0,1
clarification,0,1,1,5
clarifies,0,1,7,1
clarifying,3,2,1,0
clashdaily,23,19,0,13
clashing,3,0,2,6
classless,0,5,7,9
classmate,1,1,0,3
classrooms,3,1,0,1
clause,2,1,1,0
cleans,1,1,1,0
cleanse,0,5,1,1
cleanup,2,0,1,1
clears,7,32,0,2
cleaver,1,2,0,1
cleo,3,1,1,0
cleo_47bc,0,1,2,5
clepolice,1,1,0,3
clerical,0,1,1,2
clerks,0,1,4,2
clevelanddotcom,0,2,1,2
cleverley,3,8,5,0
clickbait,0,1,2,1
clicking,0,3,2,1
client,4,0,4,3
clifton,1,1,0,5
clinging,1,2,0,2
clinics,0,4,3,3
clintonallen,0,1,1,1
clintons,1,0,1,1
clivenbundy,1,0,1,2
clones,0,2,1,1
clooney,0,2,1,1
clorox,1,0,1,1
closes,1,8,0,3
closest,2,20,0,4
closure,1,0,5,7
closures,5,2,0,6
clout,1,0,2,2
clues,2,3,0,1
clutching,0,2,1,1
clutchmag,1,0,3,1
clydefc,1,0,2,2
cmpcamille,1,0,6,1
cnet,0,1,1,1
cnn_news,3,0,4,1
cnncomtopstories,1,0,1,2
cnnjustin,2,1,0,6
cnnlatest,1,1,0,3
cnnnewsroom,0,2,1,7
cnrapp,4,3,0,1
cns,2,4,0,2
cnty,3,4,2,0
cnu,0,1,6,6
coa,1,2,1,0
coates,3,2,0,2
cockroaches,3,2,0,1
cocktail,1,3,0,2
cocky,0,1,2,1
cocoa,0,4,3,3
cod,0,3,3,2
coding,0,1,1,1
coffin,5,7,0,97
coffins,0,4,2,3
cofierce,2,0,1,1
cohan,0,1,9,5
coincided,1,2,0,1
coins,1,2,1,0
cointel,0,1,2,5
coke,0,5,2,2
colbert,8,1,0,2
colder,1,0,3,4
coldest,1,1,1,0
coleman,2,6,1,0
colephelps_1247,0,1,1,1
colinflaherty,5,3,0,2
collab,0,2,1,1
collaborating,1,1,1,0
collaboration,1,0,16,129
collapses,0,115,1,2
collar,4,4,1,0
collector,1,0,1,1
colleenkelly,1,0,25,7
collegegameday,1,0,2,1
collision,1,1,2,0
collusion,2,1,4,0
colombia,1,2,0,1
colonel,0,1,3,1
colonialism,0,4,1,5
colonization,1,0,1,1
colonized,2,1,0,3
colorful,1,0,4,5
colorless,1,0,8,7
coltcabana,2,0,1,1
columbiajourn,2,23,0,1
columnist,2,10,0,4
coma,3,0,2,2
combat_jack,1,1,1,0
combine,0,7,3,11
combines,2,0,2,1
comedians,6,0,3,1
comeon,1,1,0,1
comes2,1,1,0,1
comforting,1,0,1,1
comfy,1,2,0,3
comical_z,1,0,6,14
comics,1,0,7,1
comm223,0,1,1,4
commanded,0,2,1,1
commanderxanon,1,7,4,0
commemorate,2,1,0,6
commemorating,1,0,2,1
commence,3,2,0,6
commenced,1,1,0,1
commend,2,2,0,3
commentators,2,2,0,2
comming,1,1,2,0
commissioner,1,6,0,7
commons,6,4,3,0
commonsense,4,0,2,2
commonwealth,4,0,1,2
communicating,1,1,0,3
commute,1,1,3,0
commuter,1,2,1,0
companion,1,3,8,0
compass,2,2,0,2
compassionate,0,2,1,1
compelled,1,0,3,4
compels,2,3,0,1
compete,1,3,0,2
competing,2,0,1,3
compilation,5,2,3,0
compiled,2,1,0,5
completion,0,1,1,1
complexity,1,4,0,13
complying,0,1,5,1
composite,1,0,3,1
composition,2,1,0,1
composure,1,1,0,2
compound,1,1,1,0
compromises,0,2,1,1
conartist,1,13,0,1
conceal,2,4,0,2
concealed,6,45,0,2
concealing,1,0,1,2
concentrate,1,0,2,5
concentrations,1,0,1,1
concerts,5,4,0,5
concord,10,4,0,1
cond,0,3,1,5
condemns,4,515,0,1
condescending,2,1,0,6
condolences,0,1,2,8
condoms,1,2,0,3
condoning,2,2,0,3
cone,0,1,5,4
confederacy,1,0,1,1
conferences,2,3,0,13
confession,1,0,2,5
confessions,0,1,1,8
confiscated,4,0,1,1
confrontational,1,2,0,4
confuses,2,1,0,2
cong,1,1,0,1
congestion,1,2,2,0
connery,1,2,0,2
connolly,1,3,0,1
conquered,2,2,0,1
conquering,1,1,0,2
conrad,0,1,1,1
consciousbeats,2,0,1,2
consecutive,1,1,3,0
conservatism,1,0,1,1
conservativebyt,5,8,0,7
conservs,2,0,1,1
consideration,1,4,0,2
considers,2,10,3,0
considerthis1,1,0,4,2
consist,2,0,2,1
consistency,2,2,0,8
constituency,2,1,0,1
constitutionalrights,0,2,2,1
constructed,1,0,1,3
constructs,2,3,1,0
consultation,0,1,1,1
consulting,0,3,1,2
contacted,12,0,6,2
contemporary,0,3,2,1
contestant,7,7,0,2
contests,1,1,0,3
continent,3,0,1,2
continuously,5,1,0,3
continuum,1,1,2,0
contra,1,1,5,0
contraband,1,1,0,3
contracted,0,1,1,4
contractor,1,0,1,1
contradicted,1,2,0,1
contradiction,0,2,1,5
contradicts,58,8,0,2
contrasts,2,2,1,0
contributes,3,0,1,2
contributors,0,1,1,3
contrived,7,0,2,2
controversies,1,1,0,2
conundrum,36,1,0,1
convene,0,2,3,2
conversely,1,1,1,0
conversion,0,1,1,1
converts,0,1,2,1
convicts,1,3,1,0
convincing,4,4,0,3
convoluted,1,1,0,1
cooke,0,1,1,3
cookin,1,0,1,2
cookout,2,3,1,0
coolest,1,2,0,1
coondawg68,1,4,1,0
cooperate,3,3,0,3
cooperation,2,0,2,1
cooperative,2,0,1,1
coordinating,5,0,8,2
cope,4,3,0,1
copeland,1,1,0,1
copied,2,2,1,0
copies,4,1,2,0
coppednews,2,3,0,3
copslie,4,6,0,3
copslivesmatter,2,3,0,5
coptalk,5,21,0,1
copyright,1,3,4,0
coqketo,6,4,0,8
coral,14,3,0,6
cord,3,1,1,0
cordon,1,3,0,3
coretta,1,2,0,2
corgi,1,0,4,8
cornellwbrooks,0,1,1,8
corners,1,0,4,5
corny,2,0,2,2
coroner,6,27,0,2
correcting,3,2,0,2
correctness,5,7,1,0
correspondent,0,3,1,3
corridor,29,7,0,1
corrupting,1,2,0,2
corybooker,2,2,1,0
cosma,1,1,0,2
costa,1,1,0,1
cou,0,1,21,3
coulda,0,1,3,4
coun,0,1,1,2
councilman,1,2,0,2
councils,1,1,0,3
counselor,1,1,0,1
counselors,1,3,3,0
countdown,0,3,4,1
counteract,0,1,1,1
counterpoint,1,1,0,1
counterproductive,0,3,1,4
counterpunch,6,0,8,1
counties,3,4,1,0
courteous,1,0,1,1
courthousenews,1,1,0,2
courting,1,1,0,19
cousins,3,2,0,3
cowboy,0,2,1,3
cowboys,2,7,0,3
cower,1,3,0,1
cox,2,2,0,1
coyb,0,2,1,1
coyg,1,2,2,0
cozy,1,2,0,2
cozza,2,1,2,0
cp24,4,1,0,1
cpcueropornoqrafico,1,0,4,1
cpd,0,2,2,2
cpr,1,1,0,3
cpt,2,1,3,0
cr7,2,5,0,4
crab,2,2,0,2
crackas,1,2,0,1
crafts,4,1,1,0
craigferguson,0,1,2,1
craigslist,9,2,1,0
crane,1,0,3,2
crapping,1,2,0,1
crass,1,0,1,1
crave,1,2,0,1
craze,0,2,1,1
crazed,2,8,0,1
crazier,2,3,4,0
crcstlouis,2,0,1,1
creatively,1,1,0,1
creativerobd,0,1,2,2
creature,1,1,2,0
creed,1,0,1,5
crenshaw,0,1,1,3
crescent,1,1,0,4
cretins,0,2,1,1
crib,0,1,4,2
cricri_13,1,1,0,1
criminalize,5,4,0,2
criminalizing,1,1,1,0
criminaljustice,0,1,1,1
criminallaw,2,1,1,0
cringing,2,2,1,0
crippling,2,1,0,2
crisp,0,1,4,1
crisps,1,3,0,3
crit,3,2,1,0
criteria,1,0,3,2
critically,0,1,1,2
criticalraceessay,0,10,15,4
criticise,1,0,1,262
criticised,0,1,1,10
criticisms,1,0,2,1
crock,3,1,0,3
cronies,0,2,3,3
crony,2,0,1,2
crook,2,0,1,3
crooksandliars,3,0,1,6
crop,0,1,1,1
crosshairs,1,1,0,1
crucible,0,1,1,1
crude,1,5,0,1
cruelty,0,1,3,2
cruisers,1,1,0,3
cruising,0,4,1,1
crumble,2,2,0,1
crumbling,3,2,0,1
crumbs,0,3,5,1
crusade,2,4,1,0
crushing,3,2,0,4
cruzanchoklate,2,0,7,4
crybaby,0,3,1,4
csi,11,15,1,0
csmcdaniel,2,0,32,8
cspanchat,1,2,2,0
cu,0,1,1,1
cud,4,1,0,3
cuero_macho01,1,1,0,1
culpable,1,1,0,2
culprit,0,6,14,1
culturally,1,3,0,3
cultureandmedia,1,2,1,0
cummings,2,3,3,0
cupcakes,2,3,0,1
cups,0,4,6,4
curated,1,3,1,0
cured,0,8,1,1
curfews,2,4,0,3
curing,1,0,2,2
curiosity,1,4,0,1
currency,1,2,0,1
curriculum,1,0,3,1
currie,1,2,1,0
curtains,1,0,2,2
curtisscoon,1,1,0,1
cus,2,0,4,8
custom,2,3,0,1
cuties,1,1,1,0
cuyprosecutor,1,0,1,2
cvs,1,1,1,0
cwclub,9,3,0,1
cya,0,1,2,1
cybercivilrights,1,2,1,0
cyberwar,1,1,1,0
cycling,2,3,0,2
cykelly1718,4,0,3,2
cymadd0x,1,1,0,8
cynthia,2,2,0,11
czarzellem,1,2,0,1
d_towski,1,0,1,10
daas,1,1,0,3
dab,1,2,0,1
dafuq,0,2,2,3
daggy1,3,2,0,7
daily_star,1,3,0,4
dailysignal,1,2,1,0
dailysport,1,3,0,1
dairy,2,2,0,2
dalef3,0,1,3,3
daly,2,1,2,0
damaging,7,9,0,5
damian,0,1,2,2
damnit,0,3,3,3
damozone,0,1,1,2
damselscreation,12,29,0,6
dances,1,0,1,2
daniecal,1,0,6,3
daniels,2,0,4,2
dannykellywords,0,1,2,3
dannyshort4,1,5,1,0
dante,4,6,0,1
dar,1,2,0,1
dared,0,4,1,2
daring,0,2,2,1
darius,1,0,2,1
dariusgoins,2,1,0,1
darkies,1,1,0,1
darleystallions,1,0,1,1
darnell,0,4,2,3
darre,4,6,0,12
darrel,1,1,0,1
darrell,0,2,1,2
darrenwillson,1,1,0,2
darrenwilsons,3,2,0,2
darrenwison,1,1,0,1
darrien,4,2,1,0
darron,2,1,0,2
darryl,1,4,0,2
dart,1,0,1,1
darthur62,1,0,1,3
daryl,1,0,1,3
dav,1,10,0,1
davedo,1,7,0,1
daveweigel,5,1,0,1
davidminbklyn,11,2,1,0
davidmoyes,2,1,1,0
davidromeiphd,2,1,1,0
davidson,0,1,1,3
davidwebbshow,2,8,0,8
davies,10,0,4,1
dbenoit48,1,1,1,0
dbrickashaw,1,0,1,1
dcapp,1,2,0,5
dcmediagroup,2,0,1,11
dea,7,0,2,11
deadbeats,0,2,1,2
deadlife,0,9,12,2
deadspin,6,0,259,186
deafear,1,1,2,0
deafening,0,8,2,3
dealers,2,5,0,4
dealings,1,1,1,0
dealwithit,0,1,2,2
dearwhitepeople,16,12,0,7
deary,1,1,0,1
deat,2,0,1,86
deathly,1,1,0,1
deathpenalty,2,3,0,6
debbiemonterrey,1,0,1,1
debra,1,0,2,1
debrief,0,1,1,4
debriefing,0,1,1,4
debsworldny,1,1,2,0
deceit,2,2,0,3
decipher,1,3,2,0
decker,4,0,1,1
decks,0,1,5,113
declines,1,2,1,0
decolonize,1,1,0,2
decorated,1,2,0,9
decorum,1,1,0,1
decry,3,2,0,13
deeceevoice,2,1,27,0
deed,4,5,0,1
deeds,3,1,0,4
deeevaaa,4,1,0,4
deepest,1,1,0,1
deere,1,3,5,0
defame,0,2,1,2
defaming,0,1,1,3
defendant,1,3,2,0
defenseless,3,4,1,0
deference,2,0,1,2
deffo,0,1,1,1
deficient,0,4,2,1
defied,17,13,0,1
defies,1,0,2,2
definetly,1,1,2,0
definite,1,0,3,1
defjamrecords,1,1,2,0
defo,1,0,1,2
defuse,1,1,1,0
degenerate,0,5,1,5
degrade,1,2,0,2
deja,1,4,2,0
delaney,0,1,2,2
delanoseiv,2,1,1,0
delaware,1,0,1,1
delegation,7,18,0,2
deletes,0,2,1,1
deleting,0,1,1,4
delight,3,4,0,4
delighted,5,0,3,11
delightful,1,0,2,3
delinquent,0,1,1,4
delmar,5,3,0,2
demeanor,0,1,1,4
demented,0,3,1,3
demilitarize,23,5,0,21
demokkkrat,0,1,1,1
demonic,0,6,1,1
demonization,0,1,2,2
demonized,4,2,2,0
demonizing,4,6,0,6
demonstrat,0,2,1,14
demos_org,1,1,0,1
denise,0,1,1,3
denominator,2,1,0,1
denounced,4,4,0,6
dental,3,1,0,1
depended,13,4,0,1
dependence,0,1,1,1
depending,1,0,2,5
depleting,1,1,1,0
depopulation,1,0,4,3
deported,1,2,0,3
depot,1,2,2,0
depraved,1,2,0,1
depressed,4,0,5,3
deprivation,0,1,4,1
deprived,1,2,0,2
deptofjustice,3,10,7,0
derail,1,0,1,2
derby,3,32,2,0
dere,1,1,1,0
derekklaney,6,3,1,0
derick,0,1,1,1
derrick,0,1,3,2
derricksanders_,6,0,4,3
des,0,3,1,1
descargar,1,0,1,1
descendants,5,1,3,0
descending,2,1,0,130
descends,1,3,0,2
desecration,1,2,0,1
desert,2,1,0,3
designer,0,1,1,1
designers,0,1,1,1
designs,3,4,1,0
desperation,7,34,0,1
dessert,1,1,0,1
det,0,1,2,2
detaining,1,0,2,4
detainment,1,0,2,1
detention,0,2,463,6
deterrent,0,1,1,1
dethim,1,0,2,5
dev,0,6,1,1
devalued,1,2,2,0
devastated,2,1,0,1
develops,1,0,3,1
device,1,6,0,6
devices,1,0,3,5
devilsofunited,13,1,0,1
devincf,2,0,2,1
devise,1,1,1,0
devoid,0,1,2,2
devote,0,1,1,1
dexedrine50mg,0,1,1,1
df,1,1,0,3
dg,1,2,0,1
dhavonisdad,1,1,0,1
dhiggins63,3,7,0,16
dhoruba,1,1,2,0
diabolical,2,3,0,3
diagnosed,0,3,1,1
diallo,1,0,1,3
dialog,4,3,4,0
dialogues,2,0,1,1
diametrically,1,1,1,0
diamonds,1,0,1,4
diane,6,0,1,1
dianeax,1,1,0,2
diaper,1,1,0,1
diarrhea,1,4,0,1
dickandsharon,0,1,1,1
dictating,0,1,1,1
dictators,1,0,3,4
dictatorship,2,0,4,3
dictionary,5,7,0,1
didicim,3,4,0,1
diets,2,0,1,1
dif,0,2,1,4
differs,2,1,0,1
difficulty,2,2,0,2
digit,1,2,0,1
digitalunderground,1,0,1,2
digs,4,0,1,5
dillon,0,1,4,3
dilworth,1,0,8,1
dimension,0,1,1,1
dimensional,1,0,1,1
diminish,0,3,1,2
diminished,0,2,1,1
din,2,2,5,0
dindoo_nuffin,2,2,0,1
dindu,0,5,2,3
dino,0,1,1,1
diplomatesq,1,4,0,4
dips,1,1,2,0
direct7000,0,1,7,1
directv,1,2,0,3
dirtbag,1,3,0,1
dirtysouthanon,1,1,0,2
disable,1,1,0,1
disagreed,3,1,2,0
disappearing,0,2,5,2
disappears,1,0,3,2
disapprove,1,1,0,2
disarmed,1,1,0,2
disarming,1,4,0,1
disasters,88,5,0,3
disc,1,5,0,5
discern,1,0,2,1
discernment,1,0,6,3
discharged,2,5,0,1
disciple4lif,1,15,0,6
disciples,1,1,0,2
discipleship,3,1,2,0
disciplined,1,0,2,4
disclose,1,0,2,2
discontent,0,3,3,13
discourse,3,8,0,3
discovering,0,1,4,2
discovers,1,0,1,1
discredited,5,7,0,1
discrepancies,2,2,0,10
discretion,0,2,2,1
discriminated,1,3,0,1
dise,60,0,110,48
diseases,2,0,4,3
disetv,2,0,4,1
disgraced,4,1,0,3
disguise,4,5,6,0
dishonesty,2,5,1,0
disinfo,3,1,0,2
disingenuous,1,4,0,4
disinterested,0,2,1,2
dislikes,1,0,3,2
dismissal,2,4,3,0
dismisses,1,21,24,0
dismissive,11,1,0,2
disney,3,0,4,6
disneyland,0,1,1,3
disparity,7,6,0,8
dispatched,0,1,1,2
dispatches,7,0,2,1
dispersal,0,2,1,16
displaced,1,1,1,0
displaying,0,1,2,4
displays,1,1,0,3
disposable,1,4,1,0
disposal,3,2,0,1
disproportionate,1,2,0,6
disproves,2,3,0,2
disputes,3,4,0,4
disrespected,6,9,0,10
disrupters,1,3,0,1
disseminated,2,1,0,1
dissidents,3,2,0,2
dissing,2,2,9,0
dissolved,0,3,1,4
dissuade,0,1,2,3
distancing,1,5,0,1
distinct,2,0,9,2
distinguish,1,1,1,0
distorting,1,1,0,2
distortions,0,3,1,2
distributed,4,3,0,1
disturber,0,1,3,1
disturbers,1,0,2,3
disturbingoau,3,2,0,6
ditch,0,7,1,1
div,2,1,0,1
divalizzous,6,2,0,2
diverted,0,2,1,3
diverts,0,1,1,1
dividedwefall,0,1,1,1
divider,2,3,0,2
divine,0,3,3,9
diving,1,0,1,2
divorced,1,0,1,1
dix,4,0,2,2
diy,1,0,1,2
dizining,0,1,1,1
dizzywright,1,0,1,1
djs,0,1,1,6
djtechchicago,1,1,0,1
dk,0,2,2,3
dkerperin_00,1,1,0,1
dlmanuals,2,1,1,0
dmb1031,1,1,0,1
dmg,1,0,1,1
dms,1,1,1,0
dob,1,0,2,2
dobbs,2,1,1,0
dobetter,1,1,0,1
docthompsonshow,1,2,1,0
doctored,1,2,0,2
doctourmus,3,2,0,5
doctrine,2,0,1,6
docu,11,0,2,1
documentaries,2,4,0,3
dodd,1,1,0,1
dodged,0,1,1,2
dodger,0,1,9,3
dodgy,1,0,1,1
dogg,2,0,37,1
dogparkmayor,0,3,47,5
doh,2,0,4,1
dolphin_ls,4,0,16,7
dolts,1,3,0,1
doma,1,1,0,1
dome,11,4,0,14
domesticterrorists,1,1,0,4
domesticworkers,11,1,0,3
dominance,1,1,0,5
dominated,0,1,1,6
dominicano,0,4,3,2
dominicanswagger,2,0,2,4
dominique,0,1,1,1
donaldglover,1,0,3,5
dong,2,1,0,2
donhutch4,1,1,0,1
donnaguiffrida,1,2,1,0
donnalburnell,0,1,1,1
donnie,0,2,2,1
donny,1,1,2,0
donowpolice,0,2,14,3
dontforget,3,0,4,1
dontfundhate,4,0,2,57
dontre,1,3,0,1
dontrehamilton,5,0,5,6
doo,1,0,1,5
doom,0,2,1,2
doomsday,1,1,1,0
doookss,2,0,5,5
doorstep,3,1,0,3
dopedrop,1,1,1,0
dopest,0,1,1,2
dopey2you,1,1,0,1
doral,1,1,0,1
doreen,1,2,1,0
dorians,1,3,1,0
dormant,1,1,0,2
dorms,1,1,0,14
dorner,5,2,0,1
dosomething,2,2,0,12
doth,1,1,1,0
dotherightthing,0,1,2,1
dots,0,1,2,6
doubjoey,4,4,0,4
doubles,1,1,2,0
doublestandard,10,2,0,3
doublestandards,8,0,1,2
doubling,3,5,1,0
doubted,4,1,0,3
doubters,1,1,3,0
doug_giles,14,24,0,29
dove,1,0,3,4
downfall,0,3,1,4
downhill,3,1,0,3
downloaded,1,1,2,0
downloads,0,1,1,1
downright,1,3,0,2
downton,1,3,0,3
downward,0,15,1,3
doxxing,3,5,0,1
dp,0,3,7,1
dpd,0,1,1,3
dpt,1,3,0,6
dr_cmgreer,4,0,1,1
dr_millman,0,3,2,3
drawin,1,2,0,2
drcgould,1,2,1,0
drcornelwest,2,0,1,40
drdavidjleonard,2,0,5,1
drdre,0,1,2,1
drdrewhln,3,2,0,3
dre,1,1,0,3
dreamboys,3,0,6,2
dreamed,1,2,2,0
dreamer,2,1,0,1
dreamers,1,1,0,2
dresser,1,0,1,1
dresses,2,0,2,3
drfc,5,2,1,0
drfred57,3,12,0,4
drgoddess,47,8,0,19
dried,1,1,1,0
drill,5,1,0,1
drinkin,0,2,3,2
dripping,0,3,1,1
driscoll,3,7,0,1
drivel,4,1,0,2
drmartyfox,0,2,3,1
drogba,2,3,1,0
droop,1,6,0,1
droves,4,4,0,1
drown,0,4,1,5
drs,2,1,1,0
drudge,6,7,0,10
drugged,1,3,0,3
drugwar,1,8,0,2
